#639-3	#639-3-macrolanguage	#Name3-macrolanguage	#639-3-alias
zap	zph	Totomachapan Zapotec
zap	zpi	Santa María Quiegolani Zapotec
zap	zpj	Quiavicuzas Zapotec
zap	zpk	Tlacolulita Zapotec
zap	zpl	Lachixío Zapotec
zap	zpm	Mixtepec Zapotec
zap	zpn	Santa Inés Yatzechi Zapotec
zap	zpo	Amatlán Zapotec
zap	zpp	El Alto Zapotec
zap	zpq	Zoogocho Zapotec
zap	zpr	Santiago Xanica Zapotec
zap	zps	Coatlán Zapotec
zap	zpt	San Vicente Coatlán Zapotec
zap	zpu	Yalálag Zapotec
zap	zpv	Chichicapan Zapotec
zap	zpw	Zaniza Zapotec
zap	zpx	San Baltazar Loxicha Zapotec
zap	zpy	Mazaltepec Zapotec
zap	zpz	Texmelucan Zapotec
zap	zsr	Southern Rincon Zapotec
zap	zte	Elotepec Zapotec
zap	ztg	Xanaguía Zapotec
zap	ztl	Lapaguía-Guivini Zapotec
zap	ztm	San Agustín Mixtepec Zapotec
zap	ztn	Santa Catarina Albarradas Zapotec
zap	ztp	Loxicha Zapotec
zap	ztq	Quioquitani-Quierí Zapotec
zap	zts	Tilquiapan Zapotec
zap	ztt	Tejalapan Zapotec
zap	ztu	Güilá Zapotec
zap	ztx	Zaachila Zapotec
zap	zty	Yatee Zapotec
zap	ztc	Lachirioag Zapotec	zty
zap	xzp	Ancient Zapotec
zha	zch	Central Hongshuihe Zhuang
zha	zeh	Eastern Hongshuihe Zhuang
zha	zgb	Guibei Zhuang
zha	zgm	Minz Zhuang
zha	zgn	Guibian Zhuang
zha	zhd	Dai Zhuang
zha	zhn	Nong Zhuang
zha	zlj	Liujiang Zhuang
zha	zln	Lianshan Zhuang
zha	zlq	Liuqian Zhuangphr
zha	zqe	Qiubei Zhuang
zha	zyb	Yongbei Zhuang
zha	zyg	Yang Zhuang
zha	zyj	Youjiang Zhuang
zha	zyn	Yongnan Zhuang
zha	zzj	Zuojiang Zhuang
zha	ccx	Northern Zhuang
zha	ccy	Southern Zhuang
zho	cdo	Min Dong Chinese
zho	cjy	Jinyu Chinese
zho	cmn	Mandarin Chinese
zho	cnp	Northern Ping Chinese
zho	cpx	Pu-Xian Chinese
zho	csp	Southern Ping Chinese
zho	czh	Huizhou Chinese
zho	czo	Min Zhong Chinese
zho	gan	Gan Chinese
zho	hak	Hakka Chinese
zho	hsn	Xiang Chinese
zho	lzh	Literary Chinese
zho	mnp	Min Bei Chinese
zho	nan	Min Nan Chinese
zho	wuu	Wu Chinese
zho	yue	Yue Chinese
zza	diq	Dimli (individual language)
zza	kiu	Kirmanjki (individual language)
